ride_id,ride_date,elapsed_time,distance,bike_weight,moving_time,max_speed,avg_speed,elevation_gain,elevation_loss,max_grade,avg_grade,avg_power,calories,perceived_exertion,perceived_relative_effort,simple_exertion
3514057032,5/26/2020 11:42,3133,15.96,15.8757,2923,11.19999981,5.46209383,65.73403931,66.23400116,15.80000019,-0.003131714,94.96324921,309.4988403,3,24,EASY
3528272192,5/28/2020 22:19,5072,28.14,15.8757,4580,11.69999981,6.144629002,107.8399963,107.8399963,42.40000153,0,105.2184753,537.3167725,5,82,NORMAL
3533307586,5/30/2020 0:42,3684,19.53,15.8757,3439,11.80000019,5.681040764,83.42642212,83.32640076,18.20000076,0.000511847,93.18589783,357.3199463,4,38,EASY
3537801646,5/30/2020 16:57,3666,17.45,15.8757,3244,9.100000381,5.379716396,66.22090149,55.1208992,10.19999981,0.063603751,99.12885284,358.5551758,6,85,NORMAL
3574896451,6/6/2020 22:59,4705,23.17,15.8757,4200,12.5,5.517428398,102.6876602,102.8880005,10.10000038,-0.000863066,99.96392059,468.1309509,4,46,EASY
3578546511,6/7/2020 14:23,4352,23.29,15.8757,3957,12.80000019,5.888020992,103.2489471,103.7490005,9.899999619,-0.002146024,103.5538864,456.8859558,5,71,NORMAL
3585272060,6/8/2020 22:31,3673,19.56,15.8757,3323,12.69999981,5.888082981,79.60097504,80.10099792,8.199999809,-0.00255544,103.8865128,384.9164124,6,87,NORMAL
3595127133,6/10/2020 20:42,2784,14.27,15.8757,2503,12.19999981,5.700998783,59.53806305,60.0381012,6.300000191,-0.003503952,101.0652542,282.0567627,6,66,NORMAL
3600626004,6/11/2020 23:05,5227,22.32,15.8757,4221,14,5.288249016,82.91238403,83.21240234,8.100000381,-0.001343984,102.591095,482.8358154,4,46,EASY
3605468165,6/13/2020 0:30,8498,38.87,15.8757,5104,10.10000038,7.617241383,123.1157608,122.6159973,12,0.001286061,65.60823822,373.3736267,,,
3616509421,6/14/2020 22:53,5455,30.56,15.8757,4906,9.600000381,6.229351997,51.33335495,54.63335419,8,-0.010798005,93.44013214,511.1352844,6,129,NORMAL
3626334378,6/16/2020 22:11,4070,20.38,15.8757,3564,10.60000038,5.71812582,84.67711639,85.17710114,7.699999809,-0.002453458,101.890358,404.8966064,6,94,NORMAL
3631560247,6/17/2020 22:33,5537,24.92,15.8757,4627,12.69999981,5.386449337,117.0999832,117.5999985,10.10000038,-0.002006171,103.7960281,535.4944458,6,122,NORMAL
3640590441,6/19/2020 22:46,4010,19.59,15.8757,3494,9.5,5.606468201,79.91666412,79.91670227,8.399999619,0,97.97934723,381.7087402,4,38,EASY
3649439502,6/21/2020 13:58,3852,19.5,15.8757,3454,10.89999962,5.645570278,74.62605286,74.62609863,8.699999809,0,95.51655579,367.8544922,,,
3675817946,6/26/2020 22:11,3193,15.78,15.8757,2771,11,5.69433403,67.83178711,68.33180237,8.399999619,-0.003168769,106.3775787,328.6723938,6,73,NORMAL
3680029110,6/27/2020 16:26,8904,40.26,15.8757,6838,11.30000019,5.887642384,107.5005569,109.3010025,7.699999809,-0.004470972,88.85681915,677.4771118,6,180,NORMAL
3694748047,6/30/2020 17:12,10653,27.39,15.8757,6543,11.69999981,4.187024117,108.0357361,108.0360031,9.899999619,0,90.67565918,661.5195923,5,118,NORMAL
3695897735,6/30/2020 23:43,10981,46.75,15.8757,8598,11.10000038,5.437915802,189.3347626,189.4349976,13.10000038,-0.00021388,96.86898041,928.6608276,7,274,HARD
