simple_exertion,elapsed_distance,moving_time,avg_speed,ride_cruise_speed,ride_avg_power,peak_20min_power,training_window_id
NORMAL,5.460912365,1898,10.22461608,15.37976863,94.77455287,94.77455287,10
NORMAL,21.57494032,6366,12.10788967,13.98613218,101.3374239,135.4024608,2
NORMAL,15.38613886,4294,12.76407615,14.72393225,106.0130256,129.3431365,6
NORMAL,8.707117239,2657,11.62207554,13.95054283,95.87043714,101.5220603,2
NORMAL,5.735322481,2462,8.060129842,14.72018091,63.79269981,82.52718114,6
HARD,13.04919075,3792,12.09572576,15.00058002,109.6273277,137.8193314,4
HARD,34.70426146,10245,12.01348803,15.55539683,117.0840373,169.0207949,11
HARD,29.08657436,8598,11.98889484,14.55828502,102.8495532,156.4235888,3
HARD,52.49584276,13393,13.93725619,15.5491314,128.6111783,158.4715051,3
HARD,17.78782334,4394,14.48961161,15.32629131,131.8905232,142.1915246,3
HARD,13.11505453,3961,11.71077662,14.06268333,93.70314671,119.5533458,6
HARD,6.010280105,2765,7.633139888,10.54162261,57.15992745,56.66537842,8
NORMAL,14.48176479,4302,12.02281073,13.69089501,94.16944264,114.7684423,2
NORMAL,8.606287835,1984,15.49017191,16.18296828,147.5606248,159.9580219,3
NORMAL,11.12207664,2864,13.88979403,15.14808632,118.4485816,143.5752824,8
EASY,4.541820174,1359,12.33321481,14.55021172,106.6861191,116.7876157,10
NORMAL,7.133997266,2391,10.5603642,15.64657051,99.10366928,107.0057105,9
HARD,7.102360717,3383,7.486786664,14.62367696,59.93977896,47.00752925,8
HARD,11.23603996,3441,11.51769911,15.53542823,100.4169765,142.198719,7
HARD,13.11287457,3042,15.5294733,17.69897539,118.2158508,118.2158508,11
NORMAL,7.171176732,2128,11.90480464,14.39345917,102.3011067,102.3011067,1
EASY,2.614944565,798,11.88185307,17.49956833,164.5138142,164.5138142,4
NORMAL,15.11824782,4548,11.72706105,14.45448705,96.43934997,125.4941469,4
NORMAL,5.850509613,1509,13.7131237,16.72858866,134.5828982,150.1598381,8
NORMAL,12.17483623,3323,13.06705624,14.91841833,116.6203551,137.2805858,2
NORMAL,22.73009007,6356,12.76418036,14.00971699,100.59102775,121.0683762,1
HARD,13.28563588,3882,12.00236033,14.31206935,98.87150098,133.4862815,7
NORMAL,4.862384787,1832,9.370461192,14.60681765,75.92164431,75.92164431,3
HARD,23.87576344,6891,12.26940736,14.82017485,106.5057131,137.1372884,6
NORMAL,9.744943114,2873,11.90832215,13.57360916,91.77441542,113.7365683,2
HARD,5.266646771,1411,14.04550914,14.54707541,116.870855,124.7823571,0
NORMAL,12.7063469,3564,12.50396119,14.68155041,110.1765887,128.716536,2
NORMAL,7.055415167,3085,7.96526436,14.77595163,67.2398807,67.2398807,10
EASY,5.862538463,3185,6.25176827,14.38483784,47.47726993,74.50133632,6
EASY,8.937974442,3380,9.430805767,12.26660419,69.97620328,87.31622609,1
NORMAL,12.40576527,4344,10.01674382,14.70762406,80.37457318,92.11257876,7
NORMAL,17.52100574,4580,13.49650847,15.17184597,120.4487654,148.4218828,2
NORMAL,27.67431138,6342,15.63561815,19.59831786,139.0703125,139.0703125,4
HARD,24.60367834,7774,11.07232899,14.33670906,92.68823593,133.5532505,8
EASY,6.156931197,1707,12.94768868,13.98094052,112.1528255,112.1528255,2
NORMAL,11.13379565,2945,13.49033981,15.18835812,116.7974335,141.2461707,6
NORMAL,12.54928371,3784,11.78220362,14.3566662,103.2227575,144.4606003,5
NORMAL,9.899906976,2891,12.0869367,14.05871762,103.346328,131.3322042,5
NORMAL,2.236188887,821,9.55326244,15.43556251,92.26538769,92.26538769,3
NORMAL,21.68242845,5534,14.029101,16.22928903,125.8230412,156.468369,11
NORMAL,8.676150569,2858,10.81734442,13.14818257,78.28135977,115.6934315,2
NORMAL,17.06883902,6543,9.218873712,13.47269723,72.7761377,120.3540592,3
NORMAL,21.24348896,6301,11.98004188,14.31978683,99.04479219,127.2741186,8
HARD,8.176810526,1905,15.32785082,16.74341725,156.3079463,156.3079463,3
NORMAL,6.401887027,1967,11.50132444,13.40955551,85.98253114,101.1208533,5
EASY,7.499077931,3425,7.682416985,14.26732345,58.80282638,91.40374556,9
EASY,14.41411508,4200,12.2982429,13.82794084,103.7774069,130.563084,2
NORMAL,6.994478005,2323,10.72424441,12.75937285,76.95464939,91.85670503,1
NORMAL,7.009468176,2305,10.6431761,14.96047033,95.36087104,123.1985302,7
NORMAL,11.11451489,5974,6.363818991,13.76979645,47.46133049,103.4920896,9
NORMAL,16.26032515,5503,10.57729005,13.70417452,90.16253131,120.5624599,10
NORMAL,18.82361135,4906,13.63092314,15.07490582,113.300797,149.863281,2
NORMAL,3.224117366,988,11.74016748,13.26957352,94.3167657,94.3167657,4
NORMAL,8.870069059,2503,12.66234448,14.44776939,111.9746908,131.8551827,2
NORMAL,2.910789487,852,12.06810628,15.54412164,122.1606378,122.1606378,9
EASY,3.605817888,3270,3.87373836,16.44847732,90.36409935,153.3395023,3
HARD,19.8891652,5114,13.77514291,16.14606013,137.0704436,137.0704436,3
EASY,8.229425835,2829,10.30005212,13.03527522,79.89585059,107.8606015,2
NORMAL,8.243395288,4465,6.423143718,14.2714955,55.10698623,99.28541582,10
NORMAL,7.916663128,2402,11.57849289,14.48731345,94.82365756,94.82365755999999,8
NORMAL,9.623754929,2468,14.04213545,15.83584553,133.5292882,158.2415664,11
HARD,15.78114065,4566,12.08474263,15.60096556,110.9492615,136.2657024,9
NORMAL,8.992319024,2661,11.76884886,14.1721977,97.31291982,97.31291982,1
NORMAL,26.30051934,8631,10.83806733,13.49066208,85.46706247,136.726046,3
NORMAL,11.64284295,3247,12.8511415,17.0612801,118.5065536,153.6664341,3
HARD,8.688326601,2630,11.71621544,14.12322418,96.49956658,97.95682373,2
NORMAL,8.694617558,2597,11.74131511,14.62567673,103.2449398,106.7289479,2
NORMAL,7.187705204,2213,11.46399841,15.17504182,103.5538745,131.3178529,6
HARD,22.8486709,6408,12.62544367,15.82440225,135.134112,135.134112,8
HARD,11.7112848,3013,13.93045855,16.03941819,133.1539541,154.5397003,3
NORMAL,6.95168993,2763,8.593058392,13.91423019,63.23443804,81.48540381,9
HARD,11.15075437,3096,12.7007268,15.51738352,113.5950823,136.1195591,6
NORMAL,9.298651888,2890,11.36404022,13.90794683,100.5591684,120.20006,4
HARD,20.64958923,6200,11.73351965,15.34504475,104.3620132,149.0208869,10
NORMAL,5.46241292,1366,14.25600858,16.66212421,132.0322631,146.3049195,3
EASY,6.540239221,2702,8.54179336,11.32441907,54.20432638,74.99768636,3
HARD,35.18218482,10006,12.58148941,13.92925799,96.6628392,123.6568318,2
NORMAL,9.828784255,2771,12.63197455,14.56401368,109.7589185,129.9689584,3
NORMAL,10.81648346,4522,8.144353354,14.6816053,66.93463198,113.2963309,6
NORMAL,6.700831734,2412,9.590300258,14.26488693,80.32041336,80.32041335999999,4
EASY,13.92097882,4221,11.61786069,14.7274172,100.6228871,142.7479222,2
NORMAL,9.565006849,4075,8.026023145,13.92018437,64.1254866,115.2215168,5
NORMAL,11.81300931,4153,10.07568008,14.06221036,79.8360791,113.1428108,10
NORMAL,6.841975795,2756,8.535527978,14.76074418,72.06338098,78.56383929,5
