elapsed_distance,moving_time,avg_speed,ride_cruise_speed,ride_avg_power,peak_20min_power,training_window_0,training_window_1,training_window_2,training_window_3,training_window_4,training_window_5,training_window_6,training_window_7,training_window_8,training_window_9,training_window_10,training_window_11,training_window_12
-0.5888732931441196,-0.7633821838624687,1.1819181911292356,0.04184104782972743,1.3004528688970658,0.9602385875624381,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.573702033828871,-0.7592248452602464,1.272014409684682,0.7723450775388347,0.9846109133811976,0.812942465796589,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.24329773541596345,-0.46312995147974,0.8000267896581061,0.04061230892893726,0.568571104410793,0.37692323020339663,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010293584545406086,-0.1762735879263946,0.32086353017058955,-0.00842552091058327,0.22304147637680707,-0.2908030841110575,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0005731921286308272,-0.23770981393701449,0.6031422132755571,0.017800540318370767,0.4260528750319892,0.3254159923422345,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4845112213709806,0.9143349053899477,0.8238828882314982,-0.3268642216464159,0.481543274123997,0.8806987694958264,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5924551138405381,0.15215616164917478,0.913396094015634,0.0096349393069578,0.6146018906823546,0.9159137663147638,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3138729941079538,-0.03030481033725266,0.8004331543554547,-0.09736437277853764,0.38180241375528673,0.8493828096343057,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.04834390732697,1.0681564336721763,-0.2034989271056419,1.2691282274383742,0.023027860610893836,-0.4716044318226193,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6028634482449056,-0.4700588491501107,-0.6455629310293854,0.18194258318381526,-0.5711160171510289,-1.0086779376565953,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6305494994411369,1.650183837983312,-1.5039594748427099,-1.6053040483013548,-1.3121749766965696,-0.4543276175042369,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8242283657535814,-0.9735587465303788,1.2707221671622217,1.369677807235509,1.7820694860281983,1.118472800361415,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6911292773371757,-0.609098729068882,-0.5040892985697926,-2.016705006869989,-1.3062049575659735,-1.37454802391613,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
