ride_id,row_count,segment_count,start_time,end_time,elapsed_time,moving_time,distance,elapsed_ascent,elapsed_descent,max_speed,avg_speed,ride_cruise_speed,avg_power,ride_max_power,peak_20min_power,training_window_id,perceived_exertion,simple_exertion,perceived_relative_effort,ride_work
3409562162,7181,22,2020-05-06 16:08:31+00:00,2020-05-06 18:54:40+00:00,9981,7023,22.03381566,623.7181,624.3743,30.422384850037204,11.07677592,13.87303665,89.93771112,1198.524932,144.6915893,2,8.0,HARD,302.0,897.66829468872
3413829516,6369,8,2020-05-07 14:08:45+00:00,2020-05-07 16:14:38+00:00,7584,6359,24.4820174,319.2413,318.9132,28.4091375749814,13.8324401,14.31978337,109.0404132,565.0144105,150.497627,2,5.0,NORMAL,114.0,826.9624937088
3426486852,2622,7,2020-05-09 19:11:39+00:00,2020-05-09 19:58:13+00:00,2796,2574,8.13374639,190.9542,190.9542,20.57984757274446,11.25298039,13.78238705,85.11337879,366.2992547,107.1568851,2,6.0,NORMAL,67.0,237.97700709684
3429560753,2947,3,2020-05-10 11:36:47+00:00,2020-05-10 12:32:52+00:00,3365,2873,9.71202873,279.2131,279.5412,22.3694,11.90832215,13.57360916,91.77441542,559.4346311,113.7365683,2,5.0,NORMAL,51.0,308.82090788830004
3436691351,2584,6,2020-05-11 21:50:05+00:00,2020-05-11 22:41:34+00:00,3091,2554,8.29530285,221.7956,223.108,21.92201242725554,11.60259032,13.59908277,91.55181262,593.0913784,102.1335118,2,5.0,NORMAL,46.0,282.98665280842005
3442173104,4339,7,2020-05-12 22:13:32+00:00,2020-05-12 23:29:28+00:00,4558,4302,14.45308946,411.4374,412.0936,24.830034850037205,12.02281073,13.69089501,94.16944264,513.785187,114.7684423,2,5.0,NORMAL,77.0,429.22431955312004
3447043102,1714,5,2020-05-13 21:36:38+00:00,2020-05-13 22:08:21+00:00,1920,1707,6.151572900000001,192.2666,191.9385,23.0404824250186,12.94768868,13.98094052,112.1528255,724.3172622,,2,3.0,EASY,14.0,215.33342496000003
3462186653,6420,16,2020-05-16 16:35:08+00:00,2020-05-16 19:12:47+00:00,9461,6366,21.54914628,740.8498,742.4903,26.1721975749814,12.10788967,13.98613218,101.3374239,830.4872041,135.4024608,2,5.0,NORMAL,114.0,958.7533675179
3467007853,2582,6,2020-05-17 13:52:22+00:00,2020-05-17 15:16:19+00:00,5179,2519,8.15860123,312.6793,313.3355,19.46137757274446,11.42847494,13.43168972,93.58990592,852.3455909,95.87557868,2,6.0,NORMAL,66.0,484.70212275968004
3479529124,2881,9,2020-05-19 21:06:24+00:00,2020-05-19 21:58:57+00:00,3155,2829,8.18966978,260.1833,261.8238,31.988242425018605,10.30005212,13.03527522,79.89585059,769.8658168,107.8606015,2,3.0,EASY,23.0,252.07140861144998
3485129056,2683,9,2020-05-20 21:55:15+00:00,2020-05-20 22:47:44+00:00,3151,2619,8.09646413,266.4172,267.4015,20.57984757274446,10.89845746,13.35856255,84.36350643,521.6190138,104.258775,2,5.0,NORMAL,47.0,265.82940876093
3491112140,3705,24,2020-05-21 22:17:30+00:00,2020-05-22 00:04:18+00:00,6634,3655,9.6933876,359.2695,359.5976,22.145705147725863,9.501188104,13.8616812,78.82404085,577.8818796,121.9621554,2,4.0,EASY,40.0,522.9186869989
3495633786,2669,11,2020-05-22 22:09:57+00:00,2020-05-22 22:59:23+00:00,2967,2597,8.68676658,310.7107,310.7107,27.7380551499628,11.74131511,14.62567673,103.2449398,600.3096821,106.7289479,2,5.0,NORMAL,46.0,306.3277363866
3505140940,10341,18,2020-05-24 12:37:45+00:00,2020-05-24 16:34:47+00:00,14222,10259,40.45746581,1052.2167,1052.2167,50.1074551499628,14.05744087,15.1092098,193.2171717,162816.0175,139.7040268,2,7.0,HARD,327.0,2747.9346159174
3509569681,9075,17,2020-05-25 12:03:55+00:00,2020-05-25 15:23:53+00:00,12033,8988,31.20525162,833.7021,830.4211,25.277422425018603,12.39538971,13.92164035,99.5660957,638.6181945,137.2271338,2,8.0,HARD,386.0,1198.0788295581
3514057032,2983,5,2020-05-26 11:42:20+00:00,2020-05-26 12:34:31+00:00,3133,2923,9.91708116,355.0042,356.6447,25.0537275749814,12.00380065,14.24471106,99.76507527,613.6515901,118.7898123,2,3.0,EASY,24.0,312.56398082091
3528272192,4676,9,2020-05-28 22:19:33+00:00,2020-05-28 23:43:18+00:00,5072,4580,17.48537994,528.8972,528.8972,26.1721975749814,13.49650847,15.17184597,120.4487654,832.5956343,148.4218828,2,5.0,NORMAL,82.0,610.9161381088
3533307586,3479,6,2020-05-30 00:42:07+00:00,2020-05-30 01:42:25+00:00,3684,3439,12.13537563,359.5976,359.2695,26.3958924250186,12.61605884,14.21969996,106.1889123,1655.94747,117.3823162,2,4.0,EASY,38.0,391.19995291320004
3537801646,3294,7,2020-05-30 16:57:50+00:00,2020-05-30 17:58:54+00:00,3666,3244,10.84292395,318.5851,282.166,20.35615485227414,11.88866548,14.30374164,101.8157804,785.661247,130.7995749,2,6.0,NORMAL,85.0,373.2566509464
3574896451,4222,7,2020-06-06 22:59:55+00:00,2020-06-07 00:18:19+00:00,4705,4200,14.39716607,554.489,555.1452,27.96175,12.2982429,13.82794084,103.7774069,869.0286534,130.563084,2,4.0,EASY,46.0,488.2726994645
3578546511,3971,7,2020-06-07 14:23:23+00:00,2020-06-07 15:35:04+00:00,4352,3957,14.47173059,556.4576,558.0981,28.6328324250186,13.15419739,14.42690204,114.9355634,946.530146,133.9436587,2,5.0,NORMAL,71.0,500.19957191680004
3585272060,3356,8,2020-06-08 22:31:48+00:00,2020-06-08 23:31:58+00:00,3673,3323,12.15401676,433.7482,435.3887,28.4091375749814,13.06705624,14.91841833,116.6203551,2261.190117,137.2805858,2,6.0,NORMAL,87.0,428.3465642823
3595127133,2524,6,2020-06-10 20:42:55+00:00,2020-06-10 21:29:18+00:00,2784,2503,8.86696417,311.0388,312.6793,27.2906675749814,12.66234448,14.44776939,111.9746908,1448.030319,131.8551827,2,6.0,NORMAL,66.0,311.7375391872
3600626004,4318,14,2020-06-11 23:05:44+00:00,2020-06-12 00:32:25+00:00,5227,4221,13.86900072,454.7466,455.7309,31.31716,11.61786069,14.7274172,100.6228871,1155.774337,142.7479222,2,4.0,EASY,46.0,525.9558308717
3605468165,5124,8,2020-06-13 00:30:42+00:00,2020-06-13 02:52:17+00:00,8498,5104,24.15269077,612.8908,611.2503,22.593094850037204,12.24557627,13.50309569,98.59954067,615.22239,128.6316929,2,,,,837.89889661366
3616509421,4973,7,2020-06-14 22:53:48+00:00,2020-06-15 00:24:43+00:00,5455,4906,18.98909776,243.7783,254.6056,21.47462485227414,13.63092314,15.07490582,113.300797,344.703042,149.863281,2,6.0,NORMAL,129.0,618.0558476350001
3626334378,3663,10,2020-06-16 22:11:58+00:00,2020-06-16 23:19:36+00:00,4070,3564,12.66354098,464.2615,465.902,23.7115648500372,12.50396119,14.68155041,110.1765887,1685.687732,128.716536,2,6.0,NORMAL,94.0,448.418716009
3631560247,4689,12,2020-06-17 22:33:36+00:00,2020-06-18 00:05:51+00:00,5537,4627,15.484565320000002,608.6255,610.266,28.4091375749814,11.90299393,14.25654127,102.9398364,1010.522391,129.5800407,2,6.0,NORMAL,122.0,569.9778741468001
3640590441,3532,6,2020-06-19 22:46:34+00:00,2020-06-19 23:53:17+00:00,4010,3494,12.17265789,439.3259,439.3259,21.25093,12.43602984,14.0597479,103.113286,1053.853379,119.0806877,3,4.0,EASY,38.0,413.48427685999997
3649439502,3511,8,2020-06-21 13:58:15+00:00,2020-06-21 15:02:25+00:00,3852,3454,12.1167345,438.6697,438.6697,24.3826451499628,12.46414492,14.09720727,102.4511946,593.1530163,129.7593831,3,,,,394.64200159919994
3675817946,2803,6,2020-06-26 22:11:57+00:00,2020-06-26 23:02:57+00:00,3193,2771,9.80523438,351.7232,353.3637,24.606340000000003,12.63197455,14.56401368,109.7589185,561.2708776,129.9689584,3,6.0,NORMAL,73.0,350.4602267705
3680029110,6893,6,2020-06-27 16:26:07+00:00,2020-06-27 18:54:30+00:00,8904,6838,25.01639646,604.3602,610.266,25.277422425018603,13.08971507,14.17301491,103.9965182,1548.095102,136.7116557,3,6.0,NORMAL,180.0,925.9849980527999
3694748047,6675,34,2020-06-30 17:12:33+00:00,2020-06-30 20:07:48+00:00,10653,6543,17.01935169,576.7998,576.7998,26.1721975749814,9.218873712,13.47269723,72.7761377,1019.560213,120.3540592,3,5.0,NORMAL,118.0,775.2841949181001
