start_time,ride_id,row_count,segment_count,end_time,elapsed_time,moving_time,elapsed_distance,elapsed_ascent,elapsed_descent,max_speed,avg_speed,ride_cruise_speed,avg_power,ride_avg_power,ride_max_power,peak_20min_power,training_window_id,perceived_exertion,simple_exertion,perceived_relative_effort,ride_work,hours_since_last_ride,active_time_ratio,ftp_power,intensity,time_intensity,start_TOD,start_DOW
2021-01-31 18:48:16+00:00,4713663927,2591,9,2021-01-31 19:37:51+00:00,3059,2484,4.386204749,91.2118,92.1961,23.2641751499628,6.101484649,12.14065325,84.18671417,38.41597063,293.0019926,41.47859595,7,,,,117.51445415717,44.16166666666667,0.8120300751879699,153.4640507,0.2503255352297305,26.69450461530917,18,6
2021-03-16 22:04:42+00:00,4959281939,4146,19,2021-03-16 23:49:11+00:00,6271,4019,11.6233277,333.6777,330.3967,22.3694,10.1016887,14.41844109,93.2631073,81.90199364,882.5389498,121.5030524,7,,,,513.60740211644,334.55,0.6408866209535959,153.4640507,0.5336884649298521,206.33543377673485,22,1
2021-03-21 18:33:03+00:00,4987066590,1053,5,2021-03-21 18:52:31+00:00,1212,1016,3.418079464,71.1977,112.5383,22.145705147725863,11.69618245,16.18007351,93.66413879,96.4510842,631.2003864,,7,,,,116.8987140504,43.31527777777778,0.8382838283828383,153.4640507,0.6284930168339418,29.10113290415204,18,6
2021-03-27 14:43:28+00:00,5021533982,12172,89,2021-03-27 19:55:54+00:00,18816,11645,27.36415684,669.324,732.3192,38.6990602999256,8.103073083,15.12965794,100.1091766,67.3621158,1610.851263,128.4204586,8,,,,1267.4855708927998,111.9661111111111,0.6188881802721088,150.1598381,0.4486027465955292,64.26355306645463,14,5
2021-04-08 21:31:20+00:00,5093418943,4374,19,2021-04-08 22:58:13+00:00,5265,4174,9.927525123,215.5617,216.2179,21.25093,8.180009495,12.63254657,80.18539429,56.76546924,395.5875533,94.7068646,8,,,,298.8701955486,97.69583333333334,0.7927825261158594,150.1598381,0.3780336337483038,60.53149910993192,21,3
2021-04-25 18:42:47+00:00,5193031079,3649,32,2021-04-25 20:44:33+00:00,7563,3553,7.063097559,104.6639,104.6639,22.593094850037204,6.991702686,14.80528055,78.9634552,54.75028721,371.8496068,63.17025387,8,,,,414.07642216923006,120.81055555555557,0.4697871215126272,150.1598381,0.3646133873262348,86.38361030545734,18,6
2021-04-26 20:58:29+00:00,5198305923,763,5,2021-04-26 21:13:21+00:00,898,747,2.412125444,136.8177,128.2871,28.4091375749814,11.40459132,14.92980765,122.8008881,125.9812284,583.1748131,,8,,,,113.1311431032,24.232222222222223,0.8318485523385301,150.1598381,0.8389808486347855,17.757573278466662,20,0
2021-04-26 22:18:34+00:00,5198411144,748,2,2021-04-26 22:31:33+00:00,780,744,2.6318509,46.9183,25.9199,22.3694,12.6736504,16.07024885,120.7689743,122.9576885,391.8411469,,8,,,,95.90699703,1.0869444444444445,0.953846153846154,150.1598381,0.8188453720768896,0.5910580554720651,22,0
2021-06-04 20:11:20+00:00,5414000885,2655,23,2021-06-04 21:20:48+00:00,4293,2573,6.213616983,89.2432,89.2432,22.593094850037204,8.446776911,14.97286715,83.87054443,65.6398547,255.6705556,71.51368681,9,,,,281.7918962271,241.15416666666667,0.5993477754484043,136.2657024,0.4817048864381005,139.61477516368072,20,4
2021-06-20 16:59:30+00:00,5502826534,4115,26,2021-06-20 18:47:48+00:00,6500,4037,7.699330944,144.6921,143.3797,20.13246,6.754621833,9.464441071,61.30057907,32.63253612,222.8729093,51.45634363,9,,,,212.11148478,255.81972222222225,0.6210769230769231,136.2657024,0.239477253228469,141.00867353031617,16,6
2021-07-25 12:57:05+00:00,5684686898,628,1,2021-07-25 13:07:32+00:00,770,636,1.482538316,29.8571,27.2323,17.000743787490702,8.499359056,14.23475932,75.99333191,64.72860115,203.3323712,,10,,,,49.84102288550001,119.37972222222224,0.825974025974026,149.0208869,0.4343592532329775,83.44395829502383,12,6
2021-07-27 17:07:25+00:00,5696492733,1308,16,2021-07-27 17:44:04+00:00,2201,1220,2.355121747,56.4332,57.7456,23.7115648500372,6.51481103,15.8845196,97.74102783,59.23521077,384.4696926,,10,,,,130.37669890477002,51.99805555555555,0.5542935029532031,149.0208869,0.3974960289274725,36.25176568447159,17,1
2021-07-27 23:01:26+00:00,5698018769,1786,5,2021-07-27 23:32:45+00:00,1880,1743,5.708394792,181.4393,162.4095,26.3958924250186,11.51862869,15.35398499,110.5379181,109.022619,460.6986695,126.7108416,10,,,,204.96252372000004,5.289444444444444,0.927127659574468,149.0208869,0.7315928744482597,3.7849441679658304,23,1
2021-07-27 23:59:11+00:00,5698211851,1563,9,2021-07-28 00:31:08+00:00,1919,1509,4.848952279,148.6293,169.9558,27.2906675749814,11.20121586,15.59000434,110.286171,102.2313366,1021.064542,,10,,,,196.1819349354,0.4405555555555555,0.7863470557582074,149.0208869,0.6860201863420798,0.2544221347041119,23,1
2021-08-04 15:41:56+00:00,5738268973,1384,2,2021-08-04 16:05:14+00:00,1430,1383,4.671996484,125.9904,123.6937,20.13246,12.15925587,12.98789636,82.37187958,86.93872761,425.2092745,94.21219354,10,,,,124.3223804823,17.16111111111111,0.9671328671328672,149.0208869,0.583399612084848,9.833368328594569,15,2
2021-08-06 22:02:40+00:00,5750241138,3138,8,2021-08-06 23:02:03+00:00,3604,3055,10.76492496,358.9414,322.5223,29.3039148500372,12.35756276,15.59895607,110.8647614,116.7647009,941.4783026,149.015322,10,,,,420.8199820436,28.354166666666668,0.847669256381798,149.0208869,0.7835458728571022,19.53827830571837,22,4
2021-08-15 17:40:43+00:00,5799053437,5222,26,2021-08-15 20:08:47+00:00,8891,5081,11.08722949,201.4534,201.7815,22.145705147725863,7.655332902,11.4267317,73.36253357,47.23027995,2908.535869,73.43025482,10,,,,419.92441903545,120.88194444444444,0.5714767742661118,149.0208869,0.3169373161877216,64.61643330227996,17,6
2021-08-19 23:26:59+00:00,5821280543,6017,12,2021-08-20 01:51:10+00:00,8684,5935,21.338019,660.1372,660.1372,33.3304051499628,12.77579187,14.83662612,80.14440918,110.2319373,984.4925542,141.9402447,10,,,,957.2541435132,70.26305555555555,0.6834408106863197,149.0208869,0.739707967071561,46.0328622056242,23,3
2021-09-21 12:04:31+00:00,5995495283,1886,3,2021-09-21 12:37:34+00:00,1986,1875,7.064666991,100.3986,194.8914,22.593094850037204,13.52108879,15.86481176,100.2841415,117.1597359,765.1254103,137.3367613,11,,,,232.6792354974,23.791666666666668,0.9441087613293052,169.0207949,0.6931675831326953,13.458038647835272,12,1
2021-09-23 20:37:00+00:00,6009072937,6530,5,2021-09-23 23:45:53+00:00,11335,6524,25.49138473,393.0638,393.0638,28.4091375749814,14.0577074,16.15827706,112.7363281,130.8875818,633.4750423,160.755731,11,,,,1483.6107397029998,55.99055555555555,0.5755624172915748,169.0207949,0.7743874466892594,33.068525592701185,20,3
2021-10-16 16:38:27+00:00,6122707646,4344,16,2021-10-16 18:04:35+00:00,5172,4221,7.704228918,251.6527,251.6527,19.908765147725862,6.392338141,11.59012912,86.1829071,44.26297255,826.3565593,71.2599396,11,,,,228.9280940286,38.77444444444444,0.8161252900232019,169.0207949,0.2618788568364495,24.30140120147352,16,5
2021-12-30 14:28:32+00:00,6447072083,2392,10,2021-12-30 15:13:37+00:00,2726,2330,5.927735476,281.1817,271.9949,23.6311731187128,8.937681907,13.02064503,94.77965546,79.91682599,590.6328665,108.2897232,12,,,,217.85326764874003,88.60805555555555,0.8547322083639032,141.3577579,0.5653515390823839,61.999311917882736,14,3
