activity_id,activity_date,elapsed_time,distance,bike_weight,moving_time,max_speed,avg_speed,elevation_gain,elevation_loss,elevation_low,elevation_high,max_grade,avg_grade,avg_power,calories,perceived_exertion,perceived_relative_effort,weather_observation_time,weather_temperature,apparent_temperature,humidity,weather_pressure,wind_speed,wind_gust,wind_bearing,sunrise_time,sunset_time,act_name_len,has_description,simple_exertion
3429560753,2020-05-10 11:36:47,3365,15.63,15.8757,2873,10.0,5.441385269,62.65007782,62.75009918,245.0,269.5,4.900000095,-0.000639668,85.1725769,272.8414917,5.0,51.0,,,,,,,,,,,18,False,NORMAL
3436691351,2020-05-11 21:50:05,3091,13.35,15.8757,2554,9.800000191,5.228151798,50.44762039,50.84759903,244.6999969,269.7000122,7.400000095,-0.002995649,88.72816467,252.6721802,5.0,46.0,,,,,,,,,,,19,False,NORMAL
3442173104,2020-05-12 22:13:32,4558,23.26,15.8757,4302,11.10000038,5.407275677,90.56047821,90.76049805,245.0,287.6000061,5.900000095,-0.000859768,89.57888031,429.685791,5.0,77.0,,,,,,,,,,,21,False,NORMAL
3447043102,2020-05-13 21:36:38,1920,9.9,15.8757,1707,10.30000019,5.804276466,51.79053116,51.69049835,221.6000061,239.5,12.30000019,0.001009296,96.2776413,183.245636,3.0,14.0,,,,,,,,,,,14,False,EASY
3462186653,2020-05-16 16:35:08,9461,34.68,15.8757,6366,11.69999981,5.447675228,139.1385498,139.6390076,243.8000031,281.8999939,26.0,-0.001441757,95.32161713,676.6013184,5.0,114.0,,,,,,,,,,,23,True,NORMAL
3467007853,2020-05-17 13:52:22,5179,13.13,15.8757,2519,8.699999809,5.215720654,64.88597107,65.08599854,241.3999939,269.3999939,24.39999962,-0.001522255,90.97428131,255.518158,6.0,66.0,,,,,,,,,,,20,False,NORMAL
3479529124,2020-05-19 21:06:24,3155,13.18,15.8757,2829,14.30000019,4.65942049,45.60307693,46.10309982,241.5,269.8999939,31.10000038,-0.003793195,87.70597839,276.6541138,3.0,23.0,2020-05-19 21:00:48,13.39999962,13.39999962,0.939999998,1014.5,5.289999962,9.300000191,95.0,2020-05-19 10:14:24,2020-05-20 00:46:56,35,True,EASY
3485129056,2020-05-20 21:55:15,3151,13.03,15.8757,2619,9.199999809,4.976403236,48.88203049,49.18199921,241.6999969,269.7000122,19.10000038,-0.002301814,88.53040314,258.5251465,5.0,47.0,2020-05-20 21:00:48,11.72000027,11.72000027,0.779999971,1021.799988,4.159999847,8.489999771,94.0,2020-05-20 10:14:24,2020-05-21 00:46:56,10,False,NORMAL
3491112140,2020-05-21 22:17:30,6634,15.6,15.8757,3655,9.899999619,4.270396709,73.06698608,73.16699982,241.3000031,269.8999939,18.79999924,-0.000640685,94.3176651,384.3752747,4.0,40.0,2020-05-21 22:00:32,16.21999931,16.26000023,0.899999976,1018.5,3.940000057,7.739999771,111.0,2020-05-21 10:12:16,2020-05-22 00:46:56,32,False,EASY
3495633786,2020-05-22 22:09:57,2967,13.98,15.8757,2597,12.39999962,5.38301897,59.85612869,59.85609818,241.3999939,269.3999939,22.0,0.0,103.187233,298.7939453,5.0,46.0,2020-05-22 22:00:32,22.03000069,22.03000069,0.660000026,1015.200012,1.289999962,1.830000043,79.0,2020-05-22 10:12:16,2020-05-23 00:49:04,43,False,NORMAL
3505140940,2020-05-24 12:37:45,14222,65.11,15.8757,10259,22.39999962,6.347168446,232.402832,232.4029999,214.6999969,257.7999878,15.69999981,0.0,98.43791962,1126.01001,7.0,327.0,2020-05-24 12:01:04,19.62000084,20.21999931,0.99000001,1017.0,2.329999924,3.940000057,170.0,2020-05-24 10:10:08,2020-05-25 00:51:12,35,True,HARD
3509569681,2020-05-25 12:03:55,12033,50.22,15.8757,8988,11.30000019,5.588117599,172.857193,171.8569946,215.3000031,243.0,7.199999809,0.001991001,72.68257141,728.3973999,8.0,386.0,2020-05-25 11:58:56,21.18000031,21.67000008,0.889999986,1017.900024,1.720000029,3.289999962,149.0,2020-05-25 10:10:08,2020-05-26 00:51:12,15,True,HARD
3514057032,2020-05-26 11:42:20,3133,15.96,15.8757,2923,11.19999981,5.46209383,65.73403931,66.23400116,243.6999969,269.8999939,15.80000019,-0.003131714,94.96324921,309.4988403,3.0,24.0,2020-05-26 10:59:12,19.01000023,19.37999916,0.930000007,1018.5,1.25,2.619999886,141.0,2020-05-26 10:10:08,2020-05-27 00:53:20,28,True,EASY
3528272192,2020-05-28 22:19:33,5072,28.14,15.8757,4580,11.69999981,6.144629002,107.8399963,107.8399963,242.5,290.8999939,42.40000153,0.0,105.2184753,537.3167725,5.0,82.0,2020-05-28 22:00:32,27.38999939,28.01000023,0.529999971,1011.900024,3.819999933,6.289999962,226.0,2020-05-28 10:08:00,2020-05-29 00:53:20,27,False,NORMAL
3533307586,2020-05-30 00:42:07,3684,19.53,15.8757,3439,11.80000019,5.681040764,83.42642212,83.32640076,242.3000031,276.6000061,18.20000076,0.000511847,93.18589783,357.3199463,4.0,38.0,2020-05-30 00:00:00,19.40999985,19.45000076,0.790000021,1014.900024,2.200000048,5.199999809,312.0,2020-05-29 10:08:00,2020-05-30 00:55:28,21,False,EASY
3537801646,2020-05-30 16:57:50,3666,17.45,15.8757,3244,9.100000381,5.379716396,66.22090149,55.1208992,245.0,281.8999939,10.19999981,0.063603751,99.12885284,358.5551758,6.0,85.0,2020-05-30 16:00:00,19.88999939,19.88999939,0.519999981,1018.900024,3.789999962,6.860000134,325.0,2020-05-30 10:08:00,2020-05-31 00:55:28,35,True,NORMAL
3574896451,2020-06-06 22:59:55,4705,23.17,15.8757,4200,12.5,5.517428398,102.6876602,102.8880005,243.6999969,271.2999878,10.10000038,-0.000863066,99.96392059,468.1309509,4.0,46.0,2020-06-06 22:00:32,30.13999939,30.13999939,0.379999995,1013.200012,3.650000095,6.239999771,310.0,2020-06-06 10:05:52,2020-06-07 00:59:44,33,False,EASY
3578546511,2020-06-07 14:23:23,4352,23.29,15.8757,3957,12.80000019,5.888020992,103.2489471,103.7490005,243.6999969,271.3999939,9.899999619,-0.002146024,103.5538864,456.8859558,5.0,71.0,2020-06-07 14:00:32,21.61000061,21.61000061,0.519999981,1018.700012,2.380000114,2.380000114,48.0,2020-06-07 10:05:52,2020-06-08 01:01:52,23,False,NORMAL
3585272060,2020-06-08 22:31:48,3673,19.56,15.8757,3323,12.69999981,5.888082981,79.60097504,80.10099792,243.8000031,269.8999939,8.199999809,-0.00255544,103.8865128,384.9164124,6.0,87.0,2020-06-08 22:00:32,29.13999939,29.13999939,0.310000002,1014.200012,2.190000057,3.069999933,108.0,2020-06-08 10:05:52,2020-06-09 01:01:52,9,False,NORMAL
3595127133,2020-06-10 20:42:55,2784,14.27,15.8757,2503,12.19999981,5.700998783,59.53806305,60.0381012,243.6999969,269.8999939,6.300000191,-0.003503952,101.0652542,282.0567627,6.0,66.0,2020-06-10 20:01:04,32.22000122,36.40000153,0.560000002,1003.900024,5.849999905,11.51000023,159.0,2020-06-10 10:03:44,2020-06-11 01:01:52,22,False,NORMAL
3600626004,2020-06-11 23:05:44,5227,22.32,15.8757,4221,14.0,5.288249016,82.91238403,83.21240234,243.6999969,269.7000122,8.100000381,-0.001343984,102.591095,482.8358154,4.0,46.0,2020-06-11 23:00:16,25.51000023,25.51000023,0.370000005,1020.5,3.630000114,5.929999828,293.0,2020-06-11 10:03:44,2020-06-12 01:04:00,33,False,EASY
3605468165,2020-06-13 00:30:42,8498,38.87,15.8757,5104,10.10000038,7.617241383,123.1157608,122.6159973,243.6999969,283.7999878,12.0,0.001286061,65.60823822,373.3736267,,,2020-06-13 00:00:00,25.51000023,25.51000023,0.370000005,1022.0,1.960000038,3.559999943,351.0,2020-06-12 10:03:44,2020-06-13 01:04:00,12,False,
3616509421,2020-06-14 22:53:48,5455,30.56,15.8757,4906,9.600000381,6.229351997,51.33335495,54.63335419,168.1000061,181.6000061,8.0,-0.010798005,93.44013214,511.1352844,6.0,129.0,2020-06-14 22:00:32,22.76000023,22.76000023,0.430000007,1023.200012,2.769999981,4.679999828,48.0,2020-06-14 10:10:08,2020-06-15 01:06:08,20,False,NORMAL
3626334378,2020-06-16 22:11:58,4070,20.38,15.8757,3564,10.60000038,5.71812582,84.67711639,85.17710114,243.6999969,269.8999939,7.699999809,-0.002453458,101.890358,404.8966064,6.0,94.0,2020-06-16 22:00:32,26.89999962,26.89999962,0.400000006,1023.599976,2.910000086,5.070000172,74.0,2020-06-16 10:03:44,2020-06-17 01:04:00,13,False,NORMAL
3631560247,2020-06-17 22:33:36,5537,24.92,15.8757,4627,12.69999981,5.386449337,117.0999832,117.5999985,243.6999969,271.1000061,10.10000038,-0.002006171,103.7960281,535.4944458,6.0,122.0,2020-06-17 22:00:32,25.94000053,25.94000053,0.430000007,1019.200012,2.74000001,4.440000057,82.0,2020-06-17 10:05:52,2020-06-18 01:04:00,16,False,NORMAL
